Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,UDI
L53337,L,301.1,311.2,1774.0,29.6,186.0,0,0.0,0.0,0.0,0.0,0.0,
L53338,L,301.1,311.0,1677.0,29.1,188.0,0,0.0,0.0,0.0,0.0,0.0,
L53339,L,301.0,311.0,1399.0,58.0,190.0,1,0.0,0.0,0.0,1.0,0.0,
L53340,L,301.0,310.9,1570.0,34.0,192.0,0,0.0,0.0,0.0,0.0,0.0,
L53341,L,301.0,310.9,1479.0,44.3,194.0,0,0.0,0.0,0.0,0.0,0.0,
L53342,L,301.0,310.8,1558.0,34.9,196.0,0,0.0,0.0,0.0,0.0,0.0,
L53343,L,300.8,310.7,1358.0,48.1,198.0,0,0.0,0.0,0.0,0.0,0.0,
H35578,H,300.9,310.7,1656.0,30.7,200.0,0,0.0,0.0,0.0,0.0,0.0,
L53345,L,300.9,310.7,1523.0,35.8,205.0,0,0.0,0.0,0.0,0.0,0.0,
H35580,H,300.9,310.7,1403.0,40.6,207.0,0,0.0,0.0,0.0,0.0,0.0,
M21027,M,300.9,310.7,1362.0,51.6,212.0,0,0.0,0.0,0.0,0.0,0.0,
M21028,M,300.7,310.6,1778.0,27.1,215.0,0,0.0,0.0,0.0,0.0,0.0,
L53349,L,300.7,310.5,1448.0,38.2,218.0,0,0.0,0.0,0.0,0.0,0.0,
H35584,H,300.8,310.5,1559.0,40.1,220.0,0,0.0,0.0,0.0,0.0,0.0,
L53351,L,300.8,310.6,1416.0,42.2,225.0,0,0.0,0.0,0.0,0.0,0.0,
L53352,L,300.8,310.6,1577.0,37.9,227.0,1,1.0,0.0,0.0,0.0,0.0,
L53353,L,300.8,310.7,1633.0,27.8,0.0,0,0.0,0.0,0.0,0.0,0.0,
L53354,L,300.9,310.7,1573.0,31.2,2.0,0,0.0,0.0,0.0,0.0,0.0,
L53355,L,300.9,310.8,1517.0,44.3,4.0,0,0.0,0.0,0.0,0.0,0.0,
L53356,L,301.0,310.9,1515.0,37.3,6.0,0,0.0,0.0,0.0,0.0,0.0,
L53357,L,301.0,310.8,1527.0,45.3,8.0,0,0.0,0.0,0.0,0.0,0.0,
L53358,L,301.1,310.9,1282.0,67.9,10.0,1,0.0,0.0,1.0,0.0,0.0,
M21039,M,301.1,310.9,1396.0,45.1,12.0,0,0.0,0.0,0.0,0.0,0.0,
L53360,L,301.0,310.9,1492.0,44.6,15.0,0,0.0,0.0,0.0,0.0,0.0,
L53361,L,301.0,310.8,1975.0,19.7,17.0,0,0.0,0.0,0.0,0.0,0.0,
L53362,L,301.0,310.8,1475.0,35.3,19.0,0,0.0,0.0,0.0,0.0,0.0,
H35597,H,301.0,310.9,1495.0,37.3,21.0,0,0.0,0.0,0.0,0.0,0.0,
L53364,L,301.0,311.0,1553.0,35.8,26.0,0,0.0,0.0,0.0,0.0,0.0,
L53365,L,301.1,311.0,1918.0,21.7,28.0,0,0.0,0.0,0.0,0.0,0.0,
M21046,M,301.1,311.0,1413.0,46.6,30.0,0,0.0,0.0,0.0,0.0,0.0,
L53367,L,301.0,311.0,1437.0,56.0,33.0,0,0.0,0.0,0.0,0.0,0.0,
L53368,L,301.0,310.9,1450.0,45.9,35.0,0,0.0,0.0,0.0,0.0,0.0,
M21049,M,301.0,310.9,1910.0,21.9,37.0,0,0.0,0.0,0.0,0.0,0.0,
L53370,L,300.9,310.9,1749.0,26.4,40.0,0,0.0,0.0,0.0,0.0,0.0,
H35605,H,301.0,310.9,1916.0,22.0,42.0,0,0.0,0.0,0.0,0.0,0.0,
L53372,L,301.0,310.9,1428.0,45.3,47.0,0,0.0,0.0,0.0,0.0,0.0,
L53373,L,301.0,310.9,1578.0,38.4,49.0,0,0.0,0.0,0.0,0.0,0.0,
L53374,L,300.9,310.8,1571.0,39.9,51.0,0,0.0,0.0,0.0,0.0,0.0,
L53375,L,300.9,310.8,1729.0,30.2,53.0,0,0.0,0.0,0.0,0.0,0.0,
L53376,L,300.9,310.8,1701.0,30.4,55.0,0,0.0,0.0,0.0,0.0,0.0,
L53377,L,300.9,310.8,1493.0,45.8,57.0,0,0.0,0.0,0.0,0.0,0.0,
M21058,M,301.0,310.9,1554.0,32.7,59.0,0,0.0,0.0,0.0,0.0,0.0,
L53379,L,300.9,310.9,1497.0,43.2,62.0,0,0.0,0.0,0.0,0.0,0.0,
L53380,L,301.0,310.9,1679.0,29.8,64.0,0,0.0,0.0,0.0,0.0,0.0,
M21061,M,301.0,310.9,1510.0,44.5,66.0,0,0.0,0.0,0.0,0.0,0.0,
L53382,L,301.0,310.9,1296.0,54.9,69.0,0,0.0,0.0,0.0,0.0,0.0,
L53383,L,301.0,310.9,1404.0,41.8,71.0,0,0.0,0.0,0.0,0.0,0.0,
M21064,M,300.9,310.8,1519.0,34.9,73.0,0,0.0,0.0,0.0,0.0,0.0,
M21065,M,300.9,310.7,1696.0,27.3,76.0,0,0.0,0.0,0.0,0.0,0.0,
M21066,M,300.8,310.6,1669.0,28.4,79.0,0,0.0,0.0,0.0,0.0,0.0,
L53387,L,300.7,310.6,1447.0,40.7,82.0,0,0.0,0.0,0.0,0.0,0.0,
M21068,M,300.7,310.6,1418.0,46.3,84.0,0,0.0,0.0,0.0,0.0,0.0,
L53389,L,300.7,310.6,1407.0,40.5,87.0,0,0.0,0.0,0.0,0.0,0.0,
L53390,L,300.8,310.5,1434.0,44.5,89.0,0,0.0,0.0,0.0,0.0,0.0,
L53391,L,300.8,310.6,1360.0,48.8,91.0,0,0.0,0.0,0.0,0.0,0.0,
L53392,L,300.8,310.6,1402.0,53.7,93.0,0,0.0,0.0,0.0,0.0,0.0,
L53393,L,300.9,310.6,1552.0,34.9,95.0,0,0.0,0.0,0.0,0.0,0.0,
L53394,L,300.9,310.7,1392.0,44.2,97.0,0,0.0,0.0,0.0,0.0,0.0,
L53395,L,301.1,310.8,1521.0,41.0,99.0,0,0.0,0.0,0.0,0.0,0.0,
L53396,L,301.1,310.8,1724.0,27.5,101.0,0,0.0,0.0,0.0,0.0,0.0,
M21077,M,301.0,310.7,1455.0,46.1,103.0,0,0.0,0.0,0.0,0.0,0.0,
H35632,H,301.0,310.6,1366.0,50.6,106.0,0,0.0,0.0,0.0,0.0,0.0,
H35633,H,301.1,310.6,1407.0,43.9,111.0,0,0.0,0.0,0.0,0.0,0.0,
L53400,L,301.1,310.8,1470.0,49.3,116.0,0,0.0,0.0,0.0,0.0,0.0,
M21081,M,301.2,310.9,1359.0,50.8,118.0,0,0.0,0.0,0.0,0.0,0.0,
H35636,H,301.1,310.8,1792.0,25.8,121.0,0,0.0,0.0,0.0,0.0,0.0,
M21083,M,301.1,310.9,1552.0,37.9,126.0,0,0.0,0.0,0.0,0.0,0.0,
L53404,L,301.2,311.0,1612.0,32.9,129.0,0,0.0,0.0,0.0,0.0,0.0,
M21085,M,301.2,311.0,1424.0,41.4,131.0,0,0.0,0.0,0.0,0.0,0.0,
H35640,H,301.3,311.0,1341.0,59.3,134.0,0,0.0,0.0,0.0,0.0,0.0,
L53407,L,301.2,310.8,1479.0,38.2,139.0,0,0.0,0.0,0.0,0.0,0.0,
L53408,L,301.2,310.9,1413.0,50.1,141.0,0,0.0,0.0,0.0,0.0,0.0,
L53409,L,301.3,310.9,2165.0,17.4,143.0,0,0.0,0.0,0.0,0.0,0.0,
M21090,M,301.3,311.0,1641.0,33.0,145.0,0,0.0,0.0,0.0,0.0,0.0,
M21091,M,301.3,311.0,1495.0,40.8,148.0,0,0.0,0.0,0.0,0.0,0.0,
L53412,L,301.3,311.0,1576.0,30.4,151.0,0,0.0,0.0,0.0,0.0,0.0,
L53413,L,301.2,310.9,1467.0,37.1,153.0,0,0.0,0.0,0.0,0.0,0.0,
L53414,L,301.2,310.8,1479.0,41.2,155.0,0,0.0,0.0,0.0,0.0,0.0,
L53415,L,301.3,310.9,1596.0,33.9,157.0,0,0.0,0.0,0.0,0.0,0.0,
M21096,M,301.3,310.9,1512.0,36.9,159.0,0,0.0,0.0,0.0,0.0,0.0,
L53417,L,301.4,310.9,1414.0,38.8,162.0,0,0.0,0.0,0.0,0.0,0.0,
L53418,L,301.3,310.8,1390.0,57.4,164.0,0,0.0,0.0,0.0,0.0,0.0,
L53419,L,301.2,310.7,1644.0,31.6,166.0,0,0.0,0.0,0.0,0.0,0.0,
M21100,M,301.2,310.7,1394.0,42.8,168.0,0,0.0,0.0,0.0,0.0,0.0,
L53421,L,301.1,310.5,1324.0,52.4,171.0,0,0.0,0.0,0.0,0.0,0.0,
L53422,L,301.0,310.4,1476.0,43.6,173.0,0,0.0,0.0,0.0,0.0,0.0,
L53423,L,301.0,310.4,2204.0,16.6,175.0,0,0.0,0.0,0.0,0.0,0.0,
M21104,M,301.0,310.4,1665.0,30.9,177.0,0,0.0,0.0,0.0,0.0,0.0,
L53425,L,300.9,310.4,1445.0,41.7,180.0,0,0.0,0.0,0.0,0.0,0.0,
H35660,H,300.8,310.3,1457.0,46.8,182.0,0,0.0,0.0,0.0,0.0,0.0,
L53427,L,300.8,310.2,1492.0,46.3,187.0,0,0.0,0.0,0.0,0.0,0.0,
L53428,L,300.8,310.1,1405.0,61.2,189.0,1,0.0,0.0,1.0,1.0,0.0,
L53429,L,300.7,310.1,1542.0,35.5,191.0,0,0.0,0.0,0.0,0.0,0.0,
L53430,L,300.8,310.2,1520.0,37.7,193.0,0,0.0,0.0,0.0,0.0,0.0,
M21111,M,300.8,310.2,1598.0,36.5,195.0,0,0.0,0.0,0.0,0.0,0.0,
L53432,L,300.8,310.3,1538.0,36.1,198.0,0,0.0,0.0,0.0,0.0,0.0,
L53433,L,300.9,310.4,1615.0,30.9,200.0,0,0.0,0.0,0.0,0.0,0.0,
L53434,L,301.0,310.5,1408.0,47.0,202.0,0,0.0,0.0,0.0,0.0,0.0,
L53435,L,301.0,310.5,1379.0,57.3,204.0,1,0.0,0.0,0.0,1.0,0.0,
L53436,L,301.0,310.6,1493.0,37.8,206.0,1,1.0,0.0,0.0,0.0,0.0,
L53437,L,301.1,310.7,1376.0,49.1,0.0,0,0.0,0.0,0.0,0.0,0.0,
M21118,M,301.1,310.7,1583.0,40.7,2.0,0,0.0,0.0,0.0,0.0,0.0,
M21119,M,301.2,310.8,1396.0,47.4,5.0,0,0.0,0.0,0.0,0.0,0.0,
L53440,L,301.1,310.7,1436.0,45.3,8.0,0,0.0,0.0,0.0,0.0,0.0,
L53441,L,301.1,310.6,1417.0,47.6,10.0,0,0.0,0.0,0.0,0.0,0.0,
L53442,L,301.0,310.6,1641.0,33.4,12.0,0,0.0,0.0,0.0,0.0,0.0,
M21123,M,301.0,310.6,1698.0,27.3,14.0,0,0.0,0.0,0.0,0.0,0.0,
L53444,L,300.9,310.4,1541.0,39.1,17.0,0,0.0,0.0,0.0,0.0,0.0,
L53445,L,300.8,310.3,1383.0,46.6,19.0,0,0.0,0.0,0.0,0.0,0.0,
L53446,L,300.8,310.4,1368.0,46.8,21.0,0,0.0,0.0,0.0,0.0,0.0,
L53447,L,300.8,310.4,1570.0,35.2,23.0,0,0.0,0.0,0.0,0.0,0.0,
L53448,L,300.9,310.5,1616.0,33.5,25.0,0,0.0,0.0,0.0,0.0,0.0,
M21129,M,300.9,310.5,1444.0,43.2,27.0,0,0.0,0.0,0.0,0.0,0.0,
L53450,L,300.9,310.4,2021.0,18.8,30.0,0,0.0,0.0,0.0,0.0,0.0,
M21131,M,300.9,310.5,1702.0,29.3,32.0,0,0.0,0.0,0.0,0.0,0.0,
M21132,M,301.1,310.6,1429.0,52.7,35.0,0,0.0,0.0,0.0,0.0,0.0,
L53453,L,301.2,310.8,1711.0,28.9,38.0,0,0.0,0.0,0.0,0.0,0.0,
M21134,M,301.2,310.7,1543.0,32.9,40.0,0,0.0,0.0,0.0,0.0,0.0,
L53455,L,301.3,310.8,1628.0,32.2,43.0,0,0.0,0.0,0.0,0.0,0.0,
L53456,L,301.2,310.8,1233.0,64.6,45.0,0,0.0,0.0,0.0,0.0,0.0,
L53457,L,301.2,310.8,1461.0,40.6,47.0,0,0.0,0.0,0.0,0.0,0.0,
L53458,L,301.2,310.7,1568.0,38.3,49.0,0,0.0,0.0,0.0,0.0,0.0,
L53459,L,301.3,310.8,1432.0,54.4,51.0,0,0.0,0.0,0.0,0.0,0.0,
M21140,M,301.2,310.7,1527.0,41.1,53.0,0,0.0,0.0,0.0,0.0,0.0,
M21141,M,301.3,310.8,1455.0,41.2,56.0,0,0.0,0.0,0.0,0.0,0.0,
M21142,M,301.3,310.8,1418.0,45.4,59.0,0,0.0,0.0,0.0,0.0,0.0,
L53463,L,301.3,310.8,1719.0,29.5,62.0,0,0.0,0.0,0.0,0.0,0.0,
M21144,M,301.2,310.8,1734.0,31.3,64.0,0,0.0,0.0,0.0,0.0,0.0,
M21145,M,301.2,310.7,1426.0,46.1,67.0,0,0.0,0.0,0.0,0.0,0.0,
L53466,L,301.1,310.6,1611.0,35.2,70.0,0,0.0,0.0,0.0,0.0,0.0,
M21147,M,301.1,310.6,1479.0,41.1,72.0,0,0.0,0.0,0.0,0.0,0.0,
L53468,L,301.0,310.5,1317.0,50.9,75.0,0,0.0,0.0,0.0,0.0,0.0,
L53469,L,301.0,310.5,1248.0,61.4,77.0,0,0.0,0.0,0.0,0.0,0.0,
L53470,L,301.0,310.5,1932.0,21.7,79.0,0,0.0,0.0,0.0,0.0,0.0,
M21151,M,301.1,310.5,1547.0,35.8,81.0,0,0.0,0.0,0.0,0.0,0.0,
L53472,L,301.0,310.4,1614.0,31.6,84.0,0,0.0,0.0,0.0,0.0,0.0,
H35707,H,301.0,310.4,1512.0,44.9,86.0,0,0.0,0.0,0.0,0.0,0.0,
L53474,L,301.1,310.5,1529.0,38.7,91.0,0,0.0,0.0,0.0,0.0,0.0,
H35709,H,301.1,310.6,1782.0,24.9,93.0,0,0.0,0.0,0.0,0.0,0.0,
L53476,L,301.0,310.5,1429.0,39.4,98.0,0,0.0,0.0,0.0,0.0,0.0,
M21157,M,301.1,310.5,1309.0,60.7,100.0,0,0.0,0.0,0.0,0.0,0.0,
L53478,L,301.1,310.5,1428.0,44.1,103.0,0,0.0,0.0,0.0,0.0,0.0,
L53479,L,301.2,310.6,1385.0,49.2,105.0,0,0.0,0.0,0.0,0.0,0.0,
L53480,L,301.2,310.7,1517.0,39.4,107.0,0,0.0,0.0,0.0,0.0,0.0,
M21161,M,301.2,310.6,1576.0,39.6,109.0,0,0.0,0.0,0.0,0.0,0.0,
L53482,L,301.2,310.6,1437.0,51.2,112.0,0,0.0,0.0,0.0,0.0,0.0,
H35717,H,301.2,310.6,1457.0,50.5,114.0,0,0.0,0.0,0.0,0.0,0.0,
L53484,L,301.1,310.5,1532.0,37.5,119.0,0,0.0,0.0,0.0,0.0,0.0,
M21165,M,301.1,310.5,1603.0,32.6,121.0,0,0.0,0.0,0.0,0.0,0.0,
L53486,L,301.0,310.4,1563.0,34.4,124.0,0,0.0,0.0,0.0,0.0,0.0,
L53487,L,301.0,310.3,1617.0,34.5,126.0,0,0.0,0.0,0.0,0.0,0.0,
M21168,M,300.8,310.1,1686.0,26.9,128.0,0,0.0,0.0,0.0,0.0,0.0,
L53489,L,300.9,310.2,1382.0,50.4,131.0,0,0.0,0.0,0.0,0.0,0.0,
L53490,L,300.9,310.1,2090.0,17.8,133.0,0,0.0,0.0,0.0,0.0,0.0,
L53491,L,300.9,310.3,1446.0,44.5,135.0,0,0.0,0.0,0.0,0.0,0.0,
M21172,M,300.9,310.2,1533.0,38.1,137.0,0,0.0,0.0,0.0,0.0,0.0,
L53493,L,300.9,310.3,1440.0,47.6,140.0,0,0.0,0.0,0.0,0.0,0.0,
M21174,M,301.0,310.4,1793.0,25.0,142.0,0,0.0,0.0,0.0,0.0,0.0,
M21175,M,301.0,310.4,1517.0,46.1,145.0,0,0.0,0.0,0.0,0.0,0.0,
L53496,L,300.9,310.4,1544.0,36.0,148.0,0,0.0,0.0,0.0,0.0,0.0,
L53497,L,300.9,310.3,1321.0,48.8,150.0,0,0.0,0.0,0.0,0.0,0.0,
M21178,M,300.9,310.3,1416.0,50.9,152.0,0,0.0,0.0,0.0,0.0,0.0,
L53499,L,300.8,310.2,1514.0,40.0,155.0,0,0.0,0.0,0.0,0.0,0.0,
M21180,M,300.8,310.2,1304.0,52.5,157.0,0,0.0,0.0,0.0,0.0,0.0,
L53501,L,300.7,310.2,1286.0,64.9,160.0,0,0.0,0.0,0.0,0.0,0.0,
M21182,M,300.7,310.1,1483.0,40.2,162.0,0,0.0,0.0,0.0,0.0,0.0,
L53503,L,300.7,310.1,1351.0,46.9,165.0,0,0.0,0.0,0.0,0.0,0.0,
M21184,M,300.7,310.1,1367.0,52.6,167.0,0,0.0,0.0,0.0,0.0,0.0,
L53505,L,300.7,310.1,1721.0,32.3,170.0,0,0.0,0.0,0.0,0.0,0.0,
L53506,L,300.6,310.0,1455.0,40.4,172.0,0,0.0,0.0,0.0,0.0,0.0,
L53507,L,300.6,310.0,1425.0,49.5,174.0,0,0.0,0.0,0.0,0.0,0.0,
L53508,L,300.7,310.0,1672.0,29.7,176.0,0,0.0,0.0,0.0,0.0,0.0,
M21189,M,300.7,310.0,1641.0,34.6,178.0,0,0.0,0.0,0.0,0.0,0.0,
M21190,M,300.5,310.0,1580.0,37.0,181.0,0,0.0,0.0,0.0,0.0,0.0,
H35745,H,300.5,310.0,1495.0,47.4,184.0,0,0.0,0.0,0.0,0.0,0.0,
M21192,M,300.5,309.9,1994.0,19.8,189.0,0,0.0,0.0,0.0,0.0,0.0,
M21193,M,300.4,309.9,1415.0,31.8,192.0,0,0.0,0.0,0.0,0.0,0.0,
M21194,M,300.4,309.8,1725.0,30.4,195.0,0,0.0,0.0,0.0,0.0,0.0,
M21195,M,300.4,309.8,1430.0,43.4,198.0,0,0.0,0.0,0.0,0.0,0.0,
L53516,L,300.4,309.8,1395.0,48.1,201.0,0,0.0,0.0,0.0,0.0,0.0,
M21197,M,300.4,309.8,1435.0,43.6,203.0,0,0.0,0.0,0.0,0.0,0.0,
L53518,L,300.4,309.9,1681.0,28.6,206.0,0,0.0,0.0,0.0,0.0,0.0,
L53519,L,300.5,310.0,1451.0,48.6,208.0,0,0.0,0.0,0.0,0.0,0.0,
H35754,H,300.5,309.9,1397.0,45.9,210.0,1,1.0,0.0,0.0,0.0,0.0,
M21201,M,300.4,309.8,1421.0,47.2,0.0,0,0.0,0.0,0.0,0.0,0.0,
M21202,M,300.3,309.8,1444.0,42.0,3.0,0,0.0,0.0,0.0,0.0,0.0,
L53523,L,300.2,309.8,1827.0,23.0,6.0,0,0.0,0.0,0.0,0.0,0.0,
H35758,H,300.2,309.8,1374.0,47.7,8.0,0,0.0,0.0,0.0,0.0,0.0,
L53525,L,300.2,309.8,1650.0,29.6,13.0,0,0.0,0.0,0.0,0.0,0.0,
L53526,L,300.2,309.7,1275.0,60.7,15.0,0,0.0,0.0,0.0,0.0,0.0,
L53527,L,300.2,309.7,1421.0,44.6,17.0,0,0.0,0.0,0.0,0.0,0.0,
L53528,L,300.2,309.8,1557.0,33.8,19.0,0,0.0,0.0,0.0,0.0,0.0,
L53529,L,300.1,309.8,1506.0,35.2,21.0,0,0.0,0.0,0.0,0.0,0.0,
L53530,L,300.1,309.7,1362.0,49.1,23.0,0,0.0,0.0,0.0,0.0,0.0,
L53531,L,300.0,309.7,1542.0,47.1,25.0,0,0.0,0.0,0.0,0.0,0.0,
L53532,L,300.0,309.6,1496.0,38.8,27.0,0,0.0,0.0,0.0,0.0,0.0,
M21213,M,300.0,309.6,1491.0,42.0,29.0,0,0.0,0.0,0.0,0.0,0.0,
L53534,L,300.1,309.6,1565.0,34.8,32.0,0,0.0,0.0,0.0,0.0,0.0,
L53535,L,300.1,309.7,1481.0,37.9,34.0,0,0.0,0.0,0.0,0.0,0.0,
M21216,M,300.1,309.7,1420.0,48.4,36.0,0,0.0,0.0,0.0,0.0,0.0,
L53537,L,300.2,309.8,1398.0,54.8,39.0,0,0.0,0.0,0.0,0.0,0.0,
M21218,M,300.2,309.8,1466.0,45.7,41.0,0,0.0,0.0,0.0,0.0,0.0,
L53539,L,300.1,309.8,1430.0,56.7,44.0,0,0.0,0.0,0.0,0.0,0.0,
L53540,L,300.1,309.7,1441.0,40.1,46.0,0,0.0,0.0,0.0,0.0,0.0,
M21221,M,300.1,309.7,1348.0,57.3,48.0,0,0.0,0.0,0.0,0.0,0.0,
L53542,L,300.0,309.6,1738.0,28.7,51.0,0,0.0,0.0,0.0,0.0,0.0,
M21223,M,300.0,309.6,1618.0,36.2,53.0,0,0.0,0.0,0.0,0.0,0.0,
M21224,M,299.9,309.6,1489.0,41.7,56.0,0,0.0,0.0,0.0,0.0,0.0,
M21225,M,299.9,309.5,1412.0,57.9,59.0,0,0.0,0.0,0.0,0.0,0.0,
M21226,M,299.9,309.5,2065.0,18.1,62.0,0,0.0,0.0,0.0,0.0,0.0,
L53547,L,300.0,309.6,1571.0,33.1,65.0,0,0.0,0.0,0.0,0.0,0.0,
M21228,M,300.0,309.6,1423.0,48.7,67.0,0,0.0,0.0,0.0,0.0,0.0,
H35783,H,300.0,309.5,1781.0,24.9,70.0,0,0.0,0.0,0.0,0.0,0.0,
L53550,L,300.1,309.6,1321.0,46.9,75.0,0,0.0,0.0,0.0,0.0,0.0,
L53551,L,300.1,309.6,1546.0,36.7,77.0,0,0.0,0.0,0.0,0.0,0.0,
M21232,M,300.0,309.5,1879.0,22.4,79.0,0,0.0,0.0,0.0,0.0,0.0,
H35787,H,300.0,309.5,1735.0,28.9,82.0,0,0.0,0.0,0.0,0.0,0.0,
L53554,L,300.0,309.5,1506.0,38.8,87.0,0,0.0,0.0,0.0,0.0,0.0,
H35789,H,300.0,309.6,1629.0,32.3,89.0,0,0.0,0.0,0.0,0.0,0.0,
L53556,L,300.0,309.6,1694.0,28.7,94.0,0,0.0,0.0,0.0,0.0,0.0,
L53557,L,300.1,309.6,1541.0,37.0,96.0,0,0.0,0.0,0.0,0.0,0.0,
L53558,L,300.0,309.6,1514.0,44.6,98.0,0,0.0,0.0,0.0,0.0,0.0,
L53559,L,300.1,309.7,1485.0,45.9,100.0,0,0.0,0.0,0.0,0.0,0.0,
L53560,L,300.2,309.8,1430.0,55.0,102.0,0,0.0,0.0,0.0,0.0,0.0,
L53561,L,300.2,309.7,1771.0,27.1,104.0,0,0.0,0.0,0.0,0.0,0.0,
L53562,L,300.2,309.8,1481.0,41.9,106.0,0,0.0,0.0,0.0,0.0,0.0,
H35797,H,300.2,309.7,1483.0,43.8,108.0,0,0.0,0.0,0.0,0.0,0.0,
H35798,H,300.1,309.6,1463.0,45.1,113.0,0,0.0,0.0,0.0,0.0,0.0,
L53565,L,300.1,309.7,1410.0,48.3,118.0,0,0.0,0.0,0.0,0.0,0.0,
L53566,L,300.2,309.7,1656.0,34.3,120.0,0,0.0,0.0,0.0,0.0,0.0,
M21247,M,300.2,309.8,1487.0,39.2,122.0,0,0.0,0.0,0.0,0.0,0.0,
H35802,H,300.3,309.9,1509.0,46.6,125.0,0,0.0,0.0,0.0,0.0,0.0,
H35803,H,300.3,309.9,1677.0,30.1,130.0,0,0.0,0.0,0.0,0.0,0.0,
L53570,L,300.3,309.8,1450.0,55.0,135.0,0,0.0,0.0,0.0,0.0,0.0,
M21251,M,300.2,309.7,1413.0,43.0,137.0,0,0.0,0.0,0.0,0.0,0.0,
L53572,L,300.1,309.7,1680.0,33.8,140.0,0,0.0,0.0,0.0,0.0,0.0,
L53573,L,300.2,309.7,1678.0,30.5,142.0,0,0.0,0.0,0.0,0.0,0.0,
M21254,M,300.2,309.7,1408.0,44.0,144.0,0,0.0,0.0,0.0,0.0,0.0,
M21255,M,300.1,309.6,1376.0,52.1,147.0,0,0.0,0.0,0.0,0.0,0.0,
L53576,L,300.0,309.6,1526.0,46.4,150.0,0,0.0,0.0,0.0,0.0,0.0,
M21257,M,300.0,309.6,1587.0,32.6,152.0,0,0.0,0.0,0.0,0.0,0.0,
L53578,L,300.1,309.7,1351.0,58.2,155.0,0,0.0,0.0,0.0,0.0,0.0,
M21259,M,300.1,309.6,1501.0,38.0,157.0,0,0.0,0.0,0.0,0.0,0.0,
L53580,L,300.1,309.7,1601.0,35.8,160.0,0,0.0,0.0,0.0,0.0,0.0,
M21261,M,300.0,309.6,1573.0,39.7,162.0,0,0.0,0.0,0.0,0.0,0.0,
M21262,M,300.1,309.6,1584.0,36.7,165.0,0,0.0,0.0,0.0,0.0,0.0,
L53583,L,300.1,309.6,1649.0,33.6,168.0,0,0.0,0.0,0.0,0.0,0.0,
M21264,M,300.2,309.7,1183.0,61.4,170.0,0,0.0,0.0,0.0,0.0,0.0,
L53585,L,300.1,309.7,2151.0,17.5,173.0,0,0.0,0.0,0.0,0.0,0.0,
L53586,L,300.2,309.8,1526.0,45.6,175.0,0,0.0,0.0,0.0,0.0,0.0,
M21267,M,300.3,309.9,1611.0,29.0,177.0,0,0.0,0.0,0.0,0.0,0.0,
L53588,L,300.3,309.9,1601.0,31.7,180.0,0,0.0,0.0,0.0,0.0,0.0,
L53589,L,300.3,310.0,1560.0,40.8,182.0,0,0.0,0.0,0.0,0.0,0.0,
L53590,L,300.4,310.1,1544.0,41.9,184.0,0,0.0,0.0,0.0,0.0,0.0,
M21271,M,300.4,310.0,1560.0,42.3,186.0,0,0.0,0.0,0.0,0.0,0.0,
L53592,L,300.4,310.0,1423.0,44.2,189.0,0,0.0,0.0,0.0,0.0,0.0,
L53593,L,300.4,310.1,1614.0,33.5,191.0,0,0.0,0.0,0.0,0.0,0.0,
M21274,M,300.4,310.1,1457.0,35.1,193.0,0,0.0,0.0,0.0,0.0,0.0,
L53595,L,300.4,310.1,1503.0,42.2,196.0,0,0.0,0.0,0.0,0.0,0.0,
H35830,H,300.4,310.1,1484.0,38.0,198.0,0,0.0,0.0,0.0,0.0,0.0,
L53597,L,300.3,309.9,1540.0,39.9,203.0,0,0.0,0.0,0.0,0.0,0.0,
H35832,H,300.3,309.9,1405.0,52.1,205.0,0,0.0,0.0,0.0,0.0,0.0,
H35833,H,300.3,309.9,1394.0,46.7,210.0,1,1.0,0.0,0.0,0.0,0.0,
L53600,L,300.3,309.9,1518.0,36.4,0.0,0,0.0,0.0,0.0,0.0,0.0,
L53601,L,300.3,309.9,1527.0,41.4,2.0,0,0.0,0.0,0.0,0.0,0.0,
L53602,L,300.3,309.9,1377.0,55.3,4.0,0,0.0,0.0,0.0,0.0,0.0,
M21283,M,300.3,310.0,1537.0,37.5,6.0,0,0.0,0.0,0.0,0.0,0.0,
M21284,M,300.3,310.0,1409.0,43.2,9.0,0,0.0,0.0,0.0,0.0,0.0,
L53605,L,300.3,309.9,1393.0,56.1,12.0,0,0.0,0.0,0.0,0.0,0.0,
L53606,L,300.2,309.7,1448.0,36.8,14.0,0,0.0,0.0,0.0,0.0,0.0,
L53607,L,300.2,309.8,1418.0,49.3,16.0,0,0.0,0.0,0.0,0.0,0.0,
M21288,M,300.2,309.8,1743.0,24.1,18.0,0,0.0,0.0,0.0,0.0,0.0,
M21289,M,300.2,309.8,1394.0,47.4,21.0,0,0.0,0.0,0.0,0.0,0.0,
L53610,L,300.3,309.8,1523.0,39.2,24.0,0,0.0,0.0,0.0,0.0,0.0,
L53611,L,300.2,309.8,1353.0,59.4,26.0,0,0.0,0.0,0.0,0.0,0.0,
M21292,M,300.3,309.9,1447.0,46.5,28.0,0,0.0,0.0,0.0,0.0,0.0,
L53613,L,300.3,309.9,1570.0,34.0,31.0,0,0.0,0.0,0.0,0.0,0.0,
M21294,M,300.3,309.9,1494.0,38.5,33.0,0,0.0,0.0,0.0,0.0,0.0,
